clip_id,subject_id,video_filename,class,hand,distance_m,start_frame,end_frame,frame_count
s01_no_punch_1m_left_c001,subject01,11506747-cross_1m_left.mp4,no_punch,left,1,19,43,25
s01_cross_1m_left_c001,subject01,11506747-cross_1m_left.mp4,cross,left,1,102,123,22
s01_cross_1m_left_c002,subject01,11506747-cross_1m_left.mp4,cross,left,1,143,163,21
s01_cross_1m_left_c003,subject01,11506747-cross_1m_left.mp4,cross,left,1,186,206,21
s01_cross_1m_left_c004,subject01,11506747-cross_1m_left.mp4,cross,left,1,231,250,20
s01_cross_1m_left_c005,subject01,11506747-cross_1m_left.mp4,cross,left,1,269,288,20
s01_cross_1m_left_c006,subject01,11506747-cross_1m_left.mp4,cross,left,1,309,328,20
s01_cross_1m_left_c007,subject01,11506747-cross_1m_left.mp4,cross,left,1,352,371,20
s01_cross_1m_left_c008,subject01,11506747-cross_1m_left.mp4,cross,left,1,391,411,21
s01_cross_1m_left_c009,subject01,11506747-cross_1m_left.mp4,cross,left,1,431,450,20
s01_cross_1m_left_c010,subject01,11506747-cross_1m_left.mp4,cross,left,1,473,492,20
s01_cross_1m_left_c011,subject01,11506747-cross_1m_left.mp4,cross,left,1,514,533,20
s01_cross_1m_left_c012,subject01,11506747-cross_1m_left.mp4,cross,left,1,556,575,20
s01_cross_1m_left_c013,subject01,11506747-cross_1m_left.mp4,cross,left,1,596,615,20
s01_cross_1m_left_c014,subject01,11506747-cross_1m_left.mp4,cross,left,1,638,657,20
s01_cross_1m_left_c015,subject01,11506747-cross_1m_left.mp4,cross,left,1,678,698,21
s01_no_punch_1m_right_c002,subject01,42b82609-uppercut_1m_right.mp4,no_punch,right,1,19,43,25
s01_no_punch_1m_right_c003,subject01,42b82609-uppercut_1m_right.mp4,no_punch,right,1,20,44,25
s01_uppercut_1m_right_c001,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,92,122,31
s01_uppercut_1m_right_c002,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,147,176,30
s01_uppercut_1m_right_c003,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,197,226,30
s01_uppercut_1m_right_c004,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,244,274,31
s01_uppercut_1m_right_c005,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,293,322,30
s01_uppercut_1m_right_c006,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,342,370,29
s01_uppercut_1m_right_c007,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,394,421,28
s01_uppercut_1m_right_c008,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,442,469,28
s01_uppercut_1m_right_c009,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,493,520,28
s01_uppercut_1m_right_c010,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,547,575,29
s01_uppercut_1m_right_c011,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,601,625,25
s01_uppercut_1m_right_c012,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,650,675,26
s01_uppercut_1m_right_c013,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,709,735,27
s01_uppercut_1m_right_c014,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,758,784,27
s01_uppercut_1m_right_c015,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,808,833,26
s01_no_punch_1m_right_c004,subject01,42b82609-uppercut_1m_right.mp4,no_punch,right,1,847,871,25
s01_jab_1m_left_c001,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,171,187,17
s01_jab_1m_left_c002,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,212,228,17
s01_jab_1m_left_c003,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,256,272,17
s01_jab_1m_left_c004,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,298,314,17
s01_jab_1m_left_c005,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,345,361,17
s01_jab_1m_left_c006,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,390,406,17
s01_jab_1m_left_c007,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,436,452,17
s01_jab_1m_left_c008,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,482,498,17
s01_jab_1m_left_c009,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,526,542,17
s01_jab_1m_left_c010,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,573,589,17
s01_jab_1m_left_c011,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,618,634,17
s01_jab_1m_left_c012,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,668,684,17
s01_jab_1m_left_c013,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,731,747,17
s01_jab_1m_left_c014,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,781,797,17
s01_jab_1m_left_c015,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,825,841,17
s01_no_punch_1m_left_c005,subject01,5dfbbff9-jab_1m_left.mp4,no_punch,left,1,848,872,25
s01_hook_1m_left_c001,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,128,157,30
s01_hook_1m_left_c002,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,188,216,29
s01_hook_1m_left_c003,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,253,281,29
s01_hook_1m_left_c004,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,315,344,30
s01_hook_1m_left_c005,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,379,407,29
s01_hook_1m_left_c006,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,445,473,29
s01_no_punch_1m_left_c006,subject01,5e59f0d5-hook_1m_left.mp4,no_punch,left,1,479,503,25
s01_hook_1m_left_c007,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,511,539,29
s01_hook_1m_left_c008,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,571,599,29
s01_hook_1m_left_c009,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,629,656,28
s01_hook_1m_left_c010,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,679,706,28
s01_hook_1m_left_c011,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,739,766,28
s01_hook_1m_left_c012,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,801,829,29
s01_no_punch_1m_left_c007,subject01,5e59f0d5-hook_1m_left.mp4,no_punch,left,1,848,872,25
s01_hook_1m_left_c013,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,880,909,30
s01_hook_1m_left_c014,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,944,972,29
s01_hook_1m_left_c015,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,1005,1033,29
s01_hook_1m_left_c016,subject01,5e59f0d5-hook_1m_left.mp4,hook,left,1,1080,1109,30
s01_no_punch_1m_left_c008,subject01,5e59f0d5-hook_1m_left.mp4,no_punch,left,1,1172,1196,25
s01_hook_1m_right_c001,subject01,6212378e-hook_1m_right.mp4,hook,right,1,74,102,29
s01_hook_1m_right_c002,subject01,6212378e-hook_1m_right.mp4,hook,right,1,131,158,28
s01_hook_1m_right_c003,subject01,6212378e-hook_1m_right.mp4,hook,right,1,182,210,29
s01_no_punch_1m_right_c009,subject01,6212378e-hook_1m_right.mp4,no_punch,right,1,216,240,25
s01_hook_1m_right_c004,subject01,6212378e-hook_1m_right.mp4,hook,right,1,248,276,29
s01_hook_1m_right_c005,subject01,6212378e-hook_1m_right.mp4,hook,right,1,299,327,29
s01_hook_1m_right_c006,subject01,6212378e-hook_1m_right.mp4,hook,right,1,354,381,28
s01_hook_1m_right_c007,subject01,6212378e-hook_1m_right.mp4,hook,right,1,409,436,28
s01_hook_1m_right_c008,subject01,6212378e-hook_1m_right.mp4,hook,right,1,463,490,28
s01_hook_1m_right_c009,subject01,6212378e-hook_1m_right.mp4,hook,right,1,534,563,30
s01_hook_1m_right_c010,subject01,6212378e-hook_1m_right.mp4,hook,right,1,591,619,29
s01_hook_1m_right_c011,subject01,6212378e-hook_1m_right.mp4,hook,right,1,652,679,28
s01_hook_1m_right_c012,subject01,6212378e-hook_1m_right.mp4,hook,right,1,715,744,30
s01_no_punch_1m_right_c010,subject01,6212378e-hook_1m_right.mp4,no_punch,right,1,758,782,25
s01_hook_1m_right_c013,subject01,6212378e-hook_1m_right.mp4,hook,right,1,798,826,29
s01_hook_1m_right_c014,subject01,6212378e-hook_1m_right.mp4,hook,right,1,859,886,28
s01_no_punch_1m_right_c011,subject01,6212378e-hook_1m_right.mp4,no_punch,right,1,896,920,25
s01_hook_1m_right_c015,subject01,6212378e-hook_1m_right.mp4,hook,right,1,938,967,30
s01_hook_1m_right_c016,subject01,6212378e-hook_1m_right.mp4,hook,right,1,1007,1034,28
s01_uppercut_2m_right_c001,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,96,123,28
s01_uppercut_2m_right_c002,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,141,168,28
s01_uppercut_2m_right_c003,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,187,214,28
s01_uppercut_2m_right_c004,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,229,255,27
s01_uppercut_2m_right_c005,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,276,301,26
s01_uppercut_2m_right_c006,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,321,347,27
s01_uppercut_2m_right_c007,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,368,396,29
s01_uppercut_2m_right_c008,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,416,442,27
s01_uppercut_2m_right_c009,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,462,488,27
s01_uppercut_2m_right_c010,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,509,536,28
s01_uppercut_2m_right_c011,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,556,585,30
s01_uppercut_2m_right_c012,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,604,631,28
s01_uppercut_2m_right_c013,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,654,683,30
s01_uppercut_2m_right_c014,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,706,733,28
s01_uppercut_2m_right_c015,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,751,778,28
s01_uppercut_2m_right_c016,subject01,791f124e-uppercut_2m_right.mp4,uppercut,right,2,798,825,28
s01_hook_2m_right_c001,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,220,249,30
s01_hook_2m_right_c002,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,281,310,30
s01_hook_2m_right_c003,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,344,372,29
s01_hook_2m_right_c004,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,400,427,28
s01_hook_2m_right_c005,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,462,489,28
s01_hook_2m_right_c006,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,521,549,29
s01_no_punch_2m_right_c012,subject01,8236fba1-hook_2m_right.mp4,no_punch,right,2,563,587,25
s01_hook_2m_right_c007,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,610,638,29
s01_hook_2m_right_c008,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,667,695,29
s01_hook_2m_right_c009,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,727,756,30
s01_no_punch_2m_right_c013,subject01,8236fba1-hook_2m_right.mp4,no_punch,right,2,762,786,25
s01_hook_2m_right_c010,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,800,827,28
s01_hook_2m_right_c011,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,865,893,29
s01_hook_2m_right_c012,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,927,954,28
s01_hook_2m_right_c013,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,992,1021,30
s01_no_punch_2m_right_c014,subject01,8236fba1-hook_2m_right.mp4,no_punch,right,2,1027,1051,25
s01_hook_2m_right_c014,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,1060,1088,29
s01_hook_2m_right_c015,subject01,8236fba1-hook_2m_right.mp4,hook,right,2,1123,1152,30
s01_no_punch_2m_left_c015,subject01,868d2fad-uppercut_2m_left.mp4,no_punch,left,2,75,99,25
s01_uppercut_2m_left_c001,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,156,185,30
s01_uppercut_2m_left_c002,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,197,224,28
s01_uppercut_2m_left_c003,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,239,263,25
s01_uppercut_2m_left_c004,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,281,307,27
s01_uppercut_2m_left_c005,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,367,394,28
s01_uppercut_2m_left_c006,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,413,439,27
s01_uppercut_2m_left_c007,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,454,481,28
s01_uppercut_2m_left_c008,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,499,523,25
s01_uppercut_2m_left_c009,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,539,566,28
s01_uppercut_2m_left_c010,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,586,613,28
s01_uppercut_2m_left_c011,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,635,661,27
s01_uppercut_2m_left_c012,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,681,709,29
s01_uppercut_2m_left_c013,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,732,757,26
s01_uppercut_2m_left_c014,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,780,805,26
s01_uppercut_2m_left_c015,subject01,868d2fad-uppercut_2m_left.mp4,uppercut,left,2,830,857,28
s01_no_punch_2m_left_c016,subject01,87826ec9-jab_2m_left.mp4,no_punch,left,2,13,37,25
s01_jab_2m_left_c001,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,100,116,17
s01_jab_2m_left_c002,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,146,162,17
s01_jab_2m_left_c003,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,186,202,17
s01_jab_2m_left_c004,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,234,250,17
s01_jab_2m_left_c005,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,280,296,17
s01_jab_2m_left_c006,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,340,356,17
s01_jab_2m_left_c007,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,382,398,17
s01_jab_2m_left_c008,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,433,449,17
s01_jab_2m_left_c009,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,489,505,17
s01_jab_2m_left_c010,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,534,550,17
s01_no_punch_2m_left_c017,subject01,87826ec9-jab_2m_left.mp4,no_punch,left,2,605,629,25
s01_jab_2m_left_c011,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,641,657,17
s01_jab_2m_left_c012,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,690,707,18
s01_jab_2m_left_c013,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,743,759,17
s01_jab_2m_left_c014,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,840,857,18
s01_jab_2m_left_c015,subject01,87826ec9-jab_2m_left.mp4,jab,left,2,914,930,17
s01_no_punch_2m_left_c018,subject01,87826ec9-jab_2m_left.mp4,no_punch,left,2,953,977,25
s01_no_punch_2m_right_c019,subject01,8fee71d8-cross_2m_right.mp4,no_punch,right,2,28,52,25
s01_cross_2m_right_c001,subject01,8fee71d8-cross_2m_right.mp4,cross,right,2,76,95,20
s01_cross_2m_right_c002,subject01,8fee71d8-cross_2m_right.mp4,cross,right,2,115,134,20
s01_cross_2m_right_c003,subject01,8fee71d8-cross_2m_right.mp4,cross,right,2,158,178,21
s01_cross_2m_right_c004,subject01,8fee71d8-cross_2m_right.mp4,cross,right,2,197,217,21
