clip_id,subject_id,video_filename,class,hand,distance_m,start_frame,end_frame,frame_count
s01_cross_1m_left_c001,subject01,11506747-cross_1m_left.mp4,cross,left,1,102,123,22
s01_cross_1m_left_c002,subject01,11506747-cross_1m_left.mp4,cross,left,1,143,163,21
s01_cross_1m_left_c003,subject01,11506747-cross_1m_left.mp4,cross,left,1,186,206,21
s01_cross_1m_left_c004,subject01,11506747-cross_1m_left.mp4,cross,left,1,231,250,20
s01_cross_1m_left_c005,subject01,11506747-cross_1m_left.mp4,cross,left,1,269,288,20
s01_cross_1m_left_c006,subject01,11506747-cross_1m_left.mp4,cross,left,1,309,328,20
s01_cross_1m_left_c007,subject01,11506747-cross_1m_left.mp4,cross,left,1,352,371,20
s01_cross_1m_left_c008,subject01,11506747-cross_1m_left.mp4,cross,left,1,391,411,21
s01_cross_1m_left_c009,subject01,11506747-cross_1m_left.mp4,cross,left,1,431,450,20
s01_cross_1m_left_c010,subject01,11506747-cross_1m_left.mp4,cross,left,1,473,492,20
s01_cross_1m_left_c011,subject01,11506747-cross_1m_left.mp4,cross,left,1,514,533,20
s01_cross_1m_left_c012,subject01,11506747-cross_1m_left.mp4,cross,left,1,556,575,20
s01_cross_1m_left_c013,subject01,11506747-cross_1m_left.mp4,cross,left,1,596,615,20
s01_cross_1m_left_c014,subject01,11506747-cross_1m_left.mp4,cross,left,1,638,657,20
s01_cross_1m_left_c015,subject01,11506747-cross_1m_left.mp4,cross,left,1,678,698,21
s01_uppercut_1m_right_c001,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,92,122,31
s01_uppercut_1m_right_c002,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,147,176,30
s01_uppercut_1m_right_c003,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,197,226,30
s01_uppercut_1m_right_c004,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,244,274,31
s01_uppercut_1m_right_c005,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,293,322,30
s01_uppercut_1m_right_c006,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,342,370,29
s01_uppercut_1m_right_c007,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,394,421,28
s01_uppercut_1m_right_c008,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,442,469,28
s01_uppercut_1m_right_c009,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,493,520,28
s01_uppercut_1m_right_c010,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,547,575,29
s01_uppercut_1m_right_c011,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,601,625,25
s01_uppercut_1m_right_c012,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,650,675,26
s01_uppercut_1m_right_c013,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,709,735,27
s01_uppercut_1m_right_c014,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,758,784,27
s01_uppercut_1m_right_c015,subject01,42b82609-uppercut_1m_right.mp4,uppercut,right,1,808,833,26
s01_jab_1m_left_c001,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,171,187,17
s01_jab_1m_left_c002,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,212,228,17
s01_jab_1m_left_c003,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,256,272,17
s01_jab_1m_left_c004,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,298,314,17
s01_jab_1m_left_c005,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,345,361,17
s01_jab_1m_left_c006,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,390,406,17
s01_jab_1m_left_c007,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,436,452,17
s01_jab_1m_left_c008,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,482,498,17
s01_jab_1m_left_c009,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,526,542,17
s01_jab_1m_left_c010,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,573,589,17
s01_jab_1m_left_c011,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,618,634,17
s01_jab_1m_left_c012,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,668,684,17
s01_jab_1m_left_c013,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,731,747,17
s01_jab_1m_left_c014,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,781,797,17
s01_jab_1m_left_c015,subject01,5dfbbff9-jab_1m_left.mp4,jab,left,1,825,841,17
